document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,levenshtein,partial_ulist,reference_source,None,120,56,1,3589,0.9848645778013808,0.6818181818181818,0.9917355371900827,0.8080808080808081,0.6779661016949152
10,levenshtein,partial_ulist,reference_publication_type,None,125,51,5,3585,0.9851301115241635,0.7102272727272727,0.9615384615384616,0.8169934640522877,0.6906077348066298
10,levenshtein,partial_ulist,reference_volume,None,118,45,2,3601,0.9875199150292087,0.7239263803680982,0.9833333333333333,0.833922261484099,0.7151515151515152
10,levenshtein,partial_ulist,reference_fpage,None,116,51,3,3596,0.9856611789697292,0.6946107784431138,0.9747899159663865,0.8111888111888111,0.6823529411764706
10,levenshtein,partial_ulist,reference_lpage,None,34,133,3,3596,0.9638874137015401,0.20359281437125748,0.918918918918919,0.3333333333333333,0.2
10,levenshtein,partial_ulist,reference_doi,None,0,0,0,3766,1.0,0,0,0,0
10,levenshtein,partial_ulist,reference_pmid,None,0,0,106,3660,0.971853425385024,0,0.0,0,0.0
10,levenshtein,partial_ulist,reference_pmcid,None,0,0,0,3766,1.0,0,0,0,0
10,levenshtein,partial_ulist,all_section_labels,None,17,0,2,3747,0.9994689325544344,1.0,0.8947368421052632,0.9444444444444444,0.8947368421052632
10,levenshtein,partial_ulist,all_section_titles,None,67,14,18,3667,0.9915029208709506,0.8271604938271605,0.788235294117647,0.8072289156626505,0.6767676767676768
10,levenshtein,partial_ulist,all_section_label_titles,None,67,14,18,3667,0.9915029208709506,0.8271604938271605,0.788235294117647,0.8072289156626505,0.6767676767676768
10,levenshtein,partial_ulist,None,micro,None,None,None,None,0.9880101311328077,0.6369598765432098,0.8763269639065817,0.7377122430741734,0.5844247787610619
10,levenshtein,partial_ulist,None,macro,None,None,None,None,0.9880101311328074,0.577400199479694,0.7171429856518581,0.6140659555179284,0.5126814056329758
10,exact,set,keywords,None,4,0,2,0,0.6666666666666666,1.0,0.6666666666666666,0.8,0.6666666666666666
10,exact,set,None,micro,None,None,None,None,0.6666666666666666,1.0,0.6666666666666666,0.8,0.6666666666666666
10,exact,set,None,macro,None,None,None,None,0.6666666666666666,1.0,0.6666666666666666,0.8,0.6666666666666666
10,levenshtein,set,keywords,None,4,0,2,0,0.6666666666666666,1.0,0.6666666666666666,0.8,0.6666666666666666
10,levenshtein,set,None,micro,None,None,None,None,0.6666666666666666,1.0,0.6666666666666666,0.8,0.6666666666666666
10,levenshtein,set,None,macro,None,None,None,None,0.6666666666666666,1.0,0.6666666666666666,0.8,0.6666666666666666
10,exact,string,title,None,6,4,0,271,0.9857651245551602,0.6,1.0,0.7499999999999999,0.6
10,exact,string,abstract,None,1,7,1,272,0.9715302491103203,0.125,0.5,0.2,0.1111111111111111
10,exact,string,first_author_surname,None,6,4,0,271,0.9857651245551602,0.6,1.0,0.7499999999999999,0.6
10,exact,string,corresp_author_surnames,None,0,3,1,277,0.9857651245551602,0.0,0.0,0,0.0
10,exact,string,first_author_given_name,None,6,4,0,271,0.9857651245551602,0.6,1.0,0.7499999999999999,0.6
10,exact,string,corresp_author_given_names,None,0,3,1,277,0.9857651245551602,0.0,0.0,0,0.0
10,exact,string,first_author_full_name,None,6,4,0,271,0.9857651245551602,0.6,1.0,0.7499999999999999,0.6
10,exact,string,corresp_author_full_names,None,0,3,1,277,0.9857651245551602,0.0,0.0,0,0.0
10,exact,string,corresp_author_emails,None,0,3,0,278,0.9893238434163701,0.0,0,0,0.0
