document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1,jaccard
10,levenshtein,partial_ulist,None,macro,None,None,None,None,0.9855273592386993,0.40066081201570947,0.5160950140779763,0.44610613366494556,0.3731246959890054
10,exact,set,keywords,None,2,1,3,1,0.42857142857142855,0.6666666666666666,0.4,0.5,0.3333333333333333
10,exact,set,None,micro,None,None,None,None,0.42857142857142855,0.6666666666666666,0.4,0.5,0.3333333333333333
10,exact,set,None,macro,None,None,None,None,0.42857142857142855,0.6666666666666666,0.4,0.5,0.3333333333333333
10,levenshtein,set,keywords,None,3,0,3,0,0.5,1.0,0.5,0.6666666666666666,0.5
10,levenshtein,set,None,micro,None,None,None,None,0.5,1.0,0.5,0.6666666666666666,0.5
10,levenshtein,set,None,macro,None,None,None,None,0.5,1.0,0.5,0.6666666666666666,0.5
10,exact,string,title,None,7,3,0,212,0.9864864864864865,0.7,1.0,0.8235294117647058,0.7
10,exact,string,abstract,None,2,5,2,213,0.9684684684684685,0.2857142857142857,0.5,0.36363636363636365,0.2222222222222222
10,exact,string,first_author_surname,None,0,0,10,212,0.954954954954955,0,0.0,0,0.0
10,exact,string,corresp_author_surnames,None,0,0,1,221,0.9954954954954955,0,0.0,0,0.0
10,exact,string,first_author_given_name,None,0,0,10,212,0.954954954954955,0,0.0,0,0.0
10,exact,string,corresp_author_given_names,None,0,0,1,221,0.9954954954954955,0,0.0,0,0.0
10,exact,string,first_author_full_name,None,3,7,0,212,0.9684684684684685,0.3,1.0,0.4615384615384615,0.3
10,exact,string,corresp_author_full_names,None,0,0,1,221,0.9954954954954955,0,0.0,0,0.0
10,exact,string,corresp_author_emails,None,0,0,0,222,1.0,0,0,0,0
10,exact,string,first_body_section_paragraph,None,0,10,0,212,0.954954954954955,0.0,0,0,0.0
10,exact,string,acknowledgement,None,0,0,7,215,0.9684684684684685,0,0.0,0,0.0
10,exact,string,first_back_section_paragraph,None,0,0,9,213,0.9594594594594594,0,0.0,0,0.0
10,exact,string,first_reference_text,None,0,10,0,212,0.954954954954955,0.0,0,0,0.0
10,exact,string,first_reference_title,None,7,0,0,215,1.0,1.0,1.0,1.0,1.0
10,exact,string,first_reference_year,None,7,3,0,212,0.9864864864864865,0.7,1.0,0.8235294117647058,0.7
10,exact,string,first_reference_source,None,6,4,0,212,0.9819819819819819,0.6,1.0,0.7499999999999999,0.6
10,exact,string,first_reference_publication_type,None,0,0,10,212,0.954954954954955,0,0.0,0,0.0
10,exact,string,first_reference_volume,None,6,2,0,214,0.990990990990991,0.75,1.0,0.8571428571428571,0.75
10,exact,string,first_reference_fpage,None,6,2,0,214,0.990990990990991,0.75,1.0,0.8571428571428571,0.75
10,exact,string,first_reference_lpage,None,6,2,0,214,0.990990990990991,0.75,1.0,0.8571428571428571,0.75
10,exact,string,first_reference_doi,None,0,0,0,222,1.0,0,0,0,0
10,exact,string,first_reference_pmid,None,0,0,5,217,0.9774774774774775,0,0.0,0,0.0
10,exact,string,first_reference_pmcid,None,0,0,0,222,1.0,0,0,0,0
10,exact,string,first_all_section_paragraph,None,0,10,0,212,0.954954954954955,0.0,0,0,0.0
10,exact,string,None,micro,None,None,None,None,0.9786036036036037,0.46296296296296297,0.4716981132075472,0.4672897196261682,0.3048780487804878
10,exact,string,None,macro,None,None,None,None,0.9786036036036035,0.2431547619047619,0.3541666666666667,0.28306925917220027,0.24050925925925926
10,levenshtein,string,title,None,10,0,0,185,1.0,1.0,1.0,1.0,1.0
